Programnamn;Programkod;Personnummer;Namn;Medelbetyg;Kurs;Kurskod;Poang;Obligatorisk;Betyg
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;VG
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Kognition och handikapp;HKGC20;5;0;U
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Sprak, kultur och kognition;HKGCB4;5;0;U
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Programmering tillampning och datastrukturer;HKGBB7;5;0;VG
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Artificiell intelligens;HKGBB0;10;1;U
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Kognitionsvetenskaplig fardjupning;HKGD33;5;0;VG
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Anvandbara system;HKGB11;5;1;U
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Utveckling och individuella skillnader;HKGC12;5;0;G
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Logik och diskret matematik;HKGAB4;5;1;VG
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Sprakteknologiska system;HKGD32;5;0;VG
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Interaktionsdesign Teorier och metoder;HKGD37;5;0;U
Kognitionsvetenskap;LIU50004;3751745029;Flora Pierson;14.83;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Introduktion till kognitionsvetenskap;HKGAB0;5;1;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Lingvistik;HKGAB8;5;1;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Kognitiv modellering;HKGC13;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Programmering;HKGAB1;5;1;G
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Kvasiexperiment och statistisk analys;HKGD27;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Sprakteknologi;HKGC17;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Perspektiv pa kognitionsvetenskap;HKGD34;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Neurala nat i kognitiv neurovetenskap;HKGC19;5;0;G
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Kognition och handikapp;HKGC20;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Tillampad kognitionsvetenskap;HKGBB5;10;1;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Programmering tillampning och datastrukturer;HKGBB7;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Kognitionsvetenskaplig fardjupning;HKGD33;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Interaktionsdesign Teorier och metoder;HKGD37;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Sprakteknologiska system;HKGD32;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Logik och diskret matematik;HKGAB4;5;1;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Kognitiv psykologi;HKGAB6;5;1;G
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Lingvistisk fardjupning II;HKGD26;5;0;U
Kognitionsvetenskap;LIU50004;8533090941;Carita Bachecongi;10.68;Interaktionsdesign Studio;HKGD38;10;0;U
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Introduktion till kognitionsvetenskap;HKGAB0;5;1;U
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;U
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Lingvistik;HKGAB8;5;1;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Empirisk metod;HKGAB3;5;1;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Kognitiv modellering;HKGC13;5;0;VG
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Kommunikationsanalys;HKGB10;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Kognitiva systems beteende i komplexa miljaer del I;HKGD35;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Lingvistisk fardjupning I;HKGD25;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Programmering;HKGAB1;5;1;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Sprakteknologi;HKGC17;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Kognitiv lingvistik;HKGCB2;5;0;U
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Tillampad kognitionsvetenskap;HKGBB5;10;1;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Artificiell intelligens;HKGBB0;10;1;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Interaktionsdesign Teorier och metoder;HKGD37;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Sprakteknologiska system;HKGD32;5;0;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Kognitiv psykologi;HKGAB6;5;1;G
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Utveckling och individuella skillnader;HKGC12;5;0;VG
Kognitionsvetenskap;LIU50004;3843118566;Madeleine Hurd;17.26;Kognitiva systems beteende i komplexa miljaer del II;HKGD36;5;0;VG
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Lingvistik;HKGAB8;5;1;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Medvetandefilosofi;HKGB12;5;1;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Kognitionspsykologisk labbkurs;HKGAB7;5;1;VG
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Semiotik;HKGD24;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Kvasiexperiment och statistisk analys;HKGD27;5;0;VG
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Sprakteknologi;HKGC17;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Kognitiv lingvistik;HKGCB2;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Databaser design och programmering;HKGC11;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Kognition och handikapp;HKGC20;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Kognitionsvetenskaplig fardjupning;HKGD33;5;0;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Kommunikation och kognition;HKGXB2;5;1;G
Kognitionsvetenskap;LIU50004;7948106941;Roby Macpost;20.00;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Introduktion till kognitionsvetenskap;HKGAB0;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Lingvistik;HKGAB8;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Medvetandefilosofi;HKGB12;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Empirisk metod;HKGAB3;5;1;VG
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kognitionspsykologisk labbkurs;HKGAB7;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kvasiexperiment och statistisk analys;HKGD27;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Sprakteknologi;HKGC17;5;0;VG
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Perspektiv pa kognitionsvetenskap;HKGD34;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kognitiv lingvistik;HKGCB2;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Neurala nat i kognitiv neurovetenskap;HKGC19;5;0;VG
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kognition och handikapp;HKGC20;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Sprak, kultur och kognition;HKGCB4;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Tillampad kognitionsvetenskap;HKGBB5;10;1;U
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Programmering tillampning och datastrukturer;HKGBB7;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kommunikation och kognition;HKGXB2;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kognitiv psykologi;HKGAB6;5;1;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Interaktionsdesign Teorier och metoder;HKGD37;5;0;U
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Lingvistisk fardjupning II;HKGD26;5;0;G
Kognitionsvetenskap;LIU50004;9502928884;Vida Timleck;14.78;Kognitiva systems beteende i komplexa miljaer del II;HKGD36;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kognitionspsykologisk labbkurs;HKGAB7;5;1;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Semiotik;HKGD24;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Programmering;HKGAB1;5;1;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Lingvistisk fardjupning I;HKGD25;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kognitiv neuropsykologi;HKGB14;5;1;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kvasiexperiment och statistisk analys;HKGD27;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Manniska Teknik Organisation;HKGC21;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Sprakteknologi;HKGC17;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Perspektiv pa kognitionsvetenskap;HKGD34;5;0;U
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kognitiv lingvistik;HKGCB2;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Databaser design och programmering;HKGC11;5;0;U
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kognition och handikapp;HKGC20;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Programmering tillampning och datastrukturer;HKGBB7;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kognitionsvetenskaplig fardjupning;HKGD33;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Interaktionsdesign Teorier och metoder;HKGD37;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Lingvistisk fardjupning II;HKGD26;5;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;9969901157;Kenna Standards;16.92;Kognitiva systems beteende i komplexa miljaer del II;HKGD36;5;0;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Medvetandefilosofi;HKGB12;5;1;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Semiotik;HKGD24;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Programmering;HKGAB1;5;1;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Lingvistisk fardjupning I;HKGD25;5;0;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Kvasiexperiment och statistisk analys;HKGD27;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Sprakteknologi;HKGC17;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Kognitiv lingvistik;HKGCB2;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Neurala nat i kognitiv neurovetenskap;HKGC19;5;0;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Kognition och handikapp;HKGC20;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Programmering tillampning och datastrukturer;HKGBB7;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Anvandbara system;HKGB11;5;1;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Sprakteknologiska system;HKGD32;5;0;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Logik och diskret matematik;HKGAB4;5;1;U
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Kognitiv psykologi;HKGAB6;5;1;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Lingvistisk fardjupning II;HKGD26;5;0;G
Kognitionsvetenskap;LIU50004;7060957744;Lena Ingell;11.92;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Lingvistik;HKGAB8;5;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Medvetandefilosofi;HKGB12;5;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Kognitionspsykologisk labbkurs;HKGAB7;5;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Empirisk metod;HKGAB3;5;1;VG
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Kommunikationsanalys;HKGB10;5;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Programmering;HKGAB1;5;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Lingvistisk fardjupning I;HKGD25;5;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Kognitiv neuropsykologi;HKGB14;5;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Manniska Teknik Organisation;HKGC21;5;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Databaser design och programmering;HKGC11;5;0;VG
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Neurala nat i kognitiv neurovetenskap;HKGC19;5;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Tillampad kognitionsvetenskap;HKGBB5;10;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Kommunikation och kognition;HKGXB2;5;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Artificiell intelligens;HKGBB0;10;1;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Interaktionsdesign Teorier och metoder;HKGD37;5;0;G
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Logik och diskret matematik;HKGAB4;5;1;VG
Kognitionsvetenskap;LIU50004;3318307323;Florinda Records;20.00;Lingvistisk fardjupning II;HKGD26;5;0;VG
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Introduktion till kognitionsvetenskap;HKGAB0;5;1;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Lokalisering, aversattning och terminologi;HKGDB7;5;0;VG
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Kognitiv modellering;HKGC13;5;0;VG
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Kommunikationsanalys;HKGB10;5;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Manniska Teknik Organisation;HKGC21;5;0;VG
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Perspektiv pa kognitionsvetenskap;HKGD34;5;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Kognitiv lingvistik;HKGCB2;5;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Databaser design och programmering;HKGC11;5;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Programmering tillampning och datastrukturer;HKGBB7;5;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Anvandbara system;HKGB11;5;1;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Artificiell intelligens;HKGBB0;10;1;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Logik och diskret matematik;HKGAB4;5;1;VG
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Interaktionsdesign Teorier och metoder;HKGD37;5;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;7172777453;Ranee Rutulis;20.00;Kognitiva systems beteende i komplexa miljaer del II;HKGD36;5;0;VG
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Lingvistik;HKGAB8;5;1;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Medvetandefilosofi;HKGB12;5;1;VG
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kvasiexperiment och statistisk analys;HKGD27;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kognitiv lingvistik;HKGCB2;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Sprak, kultur och kognition;HKGCB4;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Tillampad kognitionsvetenskap;HKGBB5;10;1;U
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Programmering tillampning och datastrukturer;HKGBB7;5;0;VG
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kommunikation och kognition;HKGXB2;5;1;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Interaktionsdesign Teorier och metoder;HKGD37;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Utveckling och individuella skillnader;HKGC12;5;0;U
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kognitionspsykologisk labbkurs;HKGAB7;5;1;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kognitiv modellering;HKGC13;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Lingvistisk fardjupning I;HKGD25;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Databaser design och programmering;HKGC11;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Neurala nat i kognitiv neurovetenskap;HKGC19;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kognition och handikapp;HKGC20;5;0;VG
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kognitionsvetenskaplig fardjupning;HKGD33;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Logik och diskret matematik;HKGAB4;5;1;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Sprakteknologiska system;HKGD32;5;0;G
Kognitionsvetenskap;LIU50004;7111251505;Jess Shearman;16.00;Kognitiva systems beteende i komplexa miljaer del II;HKGD36;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;U
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Empirisk metod;HKGAB3;5;1;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Semiotik;HKGD24;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Lingvistisk fardjupning I;HKGD25;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Kognitiv neuropsykologi;HKGB14;5;1;VG
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;VG
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Sprakteknologi;HKGC17;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Anvandbarhetsorienterad systemutveckling;HKGC10;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Kognitiv lingvistik;HKGCB2;5;0;U
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Sprak, kultur och kognition;HKGCB4;5;0;U
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Kommunikation och kognition;HKGXB2;5;1;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Kognitiv psykologi;HKGAB6;5;1;U
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Utveckling och individuella skillnader;HKGC12;5;0;U
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Sprakteknologiska system;HKGD32;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Interaktionsdesign Teorier och metoder;HKGD37;5;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Lingvistisk fardjupning II;HKGD26;5;0;U
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Interaktionsdesign Studio;HKGD38;10;0;G
Kognitionsvetenskap;LIU50004;8558790888;Mariann Priestley;12.80;Kognitiva systems beteende i komplexa miljaer del II;HKGD36;5;0;U
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Lokalisering, aversattning och terminologi;HKGDB7;5;0;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Gruppsykologi och interpersonell kommunikation;HKGBB3;5;0;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Lingvistik;HKGAB8;5;1;VG
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Medvetandefilosofi;HKGB12;5;1;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Kognitiv modellering;HKGC13;5;0;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Sprakvetenskaplig databehandling;HKGAB9;5;1;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Programmering;HKGAB1;5;1;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Kognitiv neuropsykologi;HKGB14;5;1;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Formella och matematiska grunder far Kognitionsvetenskap;HKGB13;5;0;VG
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Sprakteknologi;HKGC17;5;0;VG
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Databaser design och programmering;HKGC11;5;0;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Neurala nat i kognitiv neurovetenskap;HKGC19;5;0;G
Kognitionsvetenskap;LIU50004;9846978427;Milzie Swisher;20.00;Sprak, kultur och kognition;HKGCB4;5;0;G
